CVE,Published,AnalysisTime,Difference
CVE-2023-37922,2024-01-08 15:15:00,2024-01-11 17:59:39.123,3 days 02:44:39.123000
CVE-2023-37923,2024-01-08 15:15:00,2024-01-11 17:59:24.943,3 days 02:44:24.943000
CVE-2023-37932,2024-01-10 18:15:00,2024-01-18 15:50:39.957,7 days 21:35:39.957000
CVE-2023-37934,2024-01-10 18:15:00,2024-01-18 13:55:37.770,7 days 19:40:37.770000
CVE-2023-38267,2024-01-11 03:15:00,2024-01-17 21:31:49.677,6 days 18:16:49.677000
CVE-2023-38583,2024-01-08 15:15:00,2024-01-10 01:17:06.657,1 days 10:02:06.657000
CVE-2023-38607,2024-01-10 22:15:00,2024-01-17 18:08:51.380,6 days 19:53:51.380000
CVE-2023-38610,2024-01-10 22:15:00,2024-01-18 14:34:34.957,7 days 16:19:34.957000
CVE-2023-38612,2024-01-10 22:15:00,2024-01-18 14:34:06.543,7 days 16:19:06.543000
CVE-2023-38618,2024-01-08 15:15:00,2024-01-11 17:59:45.530,3 days 02:44:45.530000
CVE-2023-38619,2024-01-08 15:15:00,2024-01-11 17:58:51.247,3 days 02:43:51.247000
CVE-2023-38620,2024-01-08 15:15:00,2024-01-11 18:09:52.983,3 days 02:54:52.983000
CVE-2023-38621,2024-01-08 15:15:00,2024-01-11 18:09:44.117,3 days 02:54:44.117000
CVE-2023-38622,2024-01-08 15:15:00,2024-01-11 18:09:36.147,3 days 02:54:36.147000
CVE-2023-38623,2024-01-08 15:15:00,2024-01-11 02:06:12.797,2 days 10:51:12.797000
CVE-2023-38648,2024-01-08 15:15:00,2024-01-11 02:09:36.867,2 days 10:54:36.867000
CVE-2023-38649,2024-01-08 15:15:00,2024-01-11 02:09:17.953,2 days 10:54:17.953000
CVE-2023-38650,2024-01-08 15:15:00,2024-01-11 02:08:48.977,2 days 10:53:48.977000
CVE-2023-38651,2024-01-08 15:15:00,2024-01-11 02:08:28.903,2 days 10:53:28.903000
CVE-2023-38652,2024-01-08 15:15:00,2024-01-11 02:08:06.280,2 days 10:53:06.280000
CVE-2023-38653,2024-01-08 15:15:00,2024-01-11 18:09:27.853,3 days 02:54:27.853000
CVE-2023-38657,2024-01-08 15:15:00,2024-01-10 01:16:51.240,1 days 10:01:51.240000
CVE-2023-38674,2024-01-03 09:15:00,2024-01-05 12:14:14.430,2 days 02:59:14.430000
CVE-2023-38827,2024-01-09 22:15:00,2024-01-16 18:57:56.180,6 days 20:42:56.180000
CVE-2023-39234,2024-01-08 15:15:00,2024-01-11 18:09:07.373,3 days 02:54:07.373000
CVE-2023-39235,2024-01-08 15:15:00,2024-01-11 18:08:55.977,3 days 02:53:55.977000
CVE-2023-39270,2024-01-08 15:15:00,2024-01-11 18:06:40.123,3 days 02:51:40.123000
CVE-2023-39271,2024-01-08 15:15:00,2024-01-11 18:06:33.390,3 days 02:51:33.390000
CVE-2023-39272,2024-01-08 15:15:00,2024-01-11 18:06:25.650,3 days 02:51:25.650000
CVE-2023-39273,2024-01-08 15:15:00,2024-01-11 18:06:18.097,3 days 02:51:18.097000
CVE-2023-39274,2024-01-08 15:15:00,2024-01-11 18:06:11.047,3 days 02:51:11.047000
CVE-2023-39275,2024-01-08 15:15:00,2024-01-11 18:06:00.897,3 days 02:51:00.897000
CVE-2023-39294,2024-01-05 17:15:00,2024-01-11 17:09:29.023,5 days 23:54:29.023000
CVE-2023-39296,2024-01-05 17:15:00,2024-01-11 17:09:17.840,5 days 23:54:17.840000
CVE-2023-39316,2024-01-08 15:15:00,2024-01-11 18:05:52.483,3 days 02:50:52.483000
CVE-2023-39317,2024-01-08 15:15:00,2024-01-11 18:05:45.297,3 days 02:50:45.297000
CVE-2023-39336,2024-01-09 02:15:00,2024-01-12 18:56:43.150,3 days 16:41:43.150000
CVE-2023-39413,2024-01-08 15:15:00,2024-01-11 18:05:21.107,3 days 02:50:21.107000
CVE-2023-39414,2024-01-08 15:15:00,2024-01-11 18:05:00.647,3 days 02:50:00.647000
CVE-2023-39443,2024-01-08 15:15:00,2024-01-11 18:01:46.570,3 days 02:46:46.570000
CVE-2023-39444,2024-01-08 15:15:00,2024-01-11 18:01:39.503,3 days 02:46:39.503000
CVE-2023-39853,2024-01-06 04:15:00,2024-01-11 14:47:18.243,5 days 10:32:18.243000
CVE-2023-40250,2024-01-12 02:15:00,2024-01-18 20:24:35.700,6 days 18:09:35.700000
CVE-2023-40362,2024-01-12 08:15:00,2024-01-19 02:09:45.830,6 days 17:54:45.830000
CVE-2023-40383,2024-01-10 22:15:00,2024-01-18 14:33:07.677,7 days 16:18:07.677000
CVE-2023-40385,2024-01-10 22:15:00,2024-01-18 14:32:30.743,7 days 16:17:30.743000
CVE-2023-40393,2024-01-10 22:15:00,2024-01-17 18:30:39.910,6 days 20:15:39.910000
CVE-2023-40394,2024-01-10 22:15:00,2024-01-18 14:31:24.663,7 days 16:16:24.663000
CVE-2023-40411,2024-01-10 22:15:00,2024-01-12 14:41:51.597,1 days 16:26:51.597000
CVE-2023-40414,2024-01-10 22:15:00,2024-01-18 14:30:39.780,7 days 16:15:39.780000
